holdepladsnr,navn,type nr,type navn,type ikon,etrs89koordinat øst,etrs89koordinat nord,wgs84koordinat bredde,wgs84koordinat længde,rejseplanen herfra,rejseplanen hertil,rejseplanen herframobil,rejseplanen hertilmobil,rejseplanen afgangstavle,rejseplanen ankomsttavle
8600600,Hvidovre st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,718512,6174215,55.6645104792818,12.4743459816788,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600600&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600600&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600600&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600600&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600600&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600600&boardType=arr&time=now&start=yes
8600620,Taastrup st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,707749,6172355,55.6525462051598,12.3021347978538,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600620&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600620&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600620&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600620&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600620&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600620&boardType=arr&time=now&start=yes
8600621,Albertslund st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,710926,6173120,55.6580403519915,12.3531235427685,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600621&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600621&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600621&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600621&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600621&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600621&boardType=arr&time=now&start=yes
8600622,Glostrup st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,713709,6173825,55.6631483484064,12.3978270360501,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600622&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600622&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600622&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600622&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600622&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600622&boardType=arr&time=now&start=yes
8600624,Valby st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,721036,6174285,55.6639968410191,12.5144497936073,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600624&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600624&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600624&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600624&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600624&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600624&boardType=arr&time=now&start=yes
8600625,Enghave st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,722613,6174304,55.6634474270362,12.5394858698214,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600625&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600625&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600625&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600625&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600625&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600625&boardType=arr&time=now&start=yes
8600626,København H,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,724212,6175458,55.6730614751946,12.5657966709911,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600626&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600626&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600626&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600626&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600626&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600626&boardType=arr&time=now&start=yes
8600634,Dybbølsbro st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,723864,6174522,55.6648278338763,12.5595111645876,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600634&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600634&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600634&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600634&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600634&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600634&boardType=arr&time=now&start=yes
8600636,Sorgenfri st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,718437,6187228,55.7812550331877,12.4835422211462,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600636&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600636&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600636&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600636&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600636&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600636&boardType=arr&time=now&start=yes
8600640,Fuglebakken st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,721671,6177822,55.6954288254022,12.5273818321788,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600640&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600640&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600640&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600640&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600640&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600640&boardType=arr&time=now&start=yes
8600641,Grøndal st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,720983,6177264,55.6907381225251,12.5160073547775,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600641&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600641&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600641&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600641&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600641&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600641&boardType=arr&time=now&start=yes
8600642,Nørrebro st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,722295,6178458,55.7008472757173,12.5378059232498,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600642&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600642&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600642&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600642&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600642&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600642&boardType=arr&time=now&start=yes
8600644,Ryparken st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,723574,6180142,55.7153619289076,12.5594915485368,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600644&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600644&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600644&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600644&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600644&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600644&boardType=arr&time=now&start=yes
8600645,Vesterport st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,723962,6175774,55.6760106945238,12.5620871728117,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600645&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600645&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600645&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600645&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600645&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600645&boardType=arr&time=now&start=yes
8600646,Nørreport st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,724501,6176587,55.6830528404156,12.5713063195675,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600646&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600646&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600646&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600646&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600646&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600646&boardType=arr&time=now&start=yes
8600650,Østerport st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,725481,6177709,55.6926606768133,12.5877840519888,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600650&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600650&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600650&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600650&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600650&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600650&boardType=arr&time=now&start=yes
8600653,Nordhavn st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,725584,6179159,55.7056160527932,12.5906127048722,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600653&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600653&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600653&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600653&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600653&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600653&boardType=arr&time=now&start=yes
8600654,Svanemøllen st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,724738,6180223,55.7155504131477,12.5780494831281,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600654&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600654&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600654&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600654&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600654&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600654&boardType=arr&time=now&start=yes
8600655,Hellerup st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,723997,6181910,55.7310220788207,12.5676584794374,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600655&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600655&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600655&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600655&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600655&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600655&boardType=arr&time=now&start=yes
8600657,Charlottenlund st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,724159,6184241,55.7518512897275,12.5721444745897,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600657&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600657&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600657&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600657&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600657&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600657&boardType=arr&time=now&start=yes
8600658,Ordrup st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,724816,6185526,55.7630703375598,12.5836491679276,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600658&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600658&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600658&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600658&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600658&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600658&boardType=arr&time=now&start=yes
8600659,Klampenborg st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,724989,6187138,55.7774458601238,12.587729917516,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600659&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600659&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600659&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600659&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600659&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600659&boardType=arr&time=now&start=yes
8600672,Bernstorffsvej st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,723290,6183215,55.7430515015769,12.5574879453674,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600672&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600672&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600672&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600672&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600672&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600672&boardType=arr&time=now&start=yes
8600673,Gentofte st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,722235,6184327,55.7535091011885,12.5416200522429,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600673&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600673&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600673&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600673&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600673&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600673&boardType=arr&time=now&start=yes
8600674,Jægersborg st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,720931,6185165,55.761621114895,12.5215611536005,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600674&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600674&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600674&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600674&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600674&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600674&boardType=arr&time=now&start=yes
8600675,Lyngby st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,719737,6185825,55.7680836405337,12.5031005625904,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600675&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600675&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600675&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600675&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600675&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600675&boardType=arr&time=now&start=yes
8600676,Virum st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,717718,6188792,55.7956062137611,12.4733489391256,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600676&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600676&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600676&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600676&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600676&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600676&boardType=arr&time=now&start=yes
